Query,TTMB,TFMB,TTMA,TFMA,RTMB,RFMB,RTMA,RFMA,Max
3_2_3_1,1451229184,846935536,1451229184,845360624,1451229184,845360624,1451229184,562245088,1560281088
3_2_3_2,1451229184,561718752,1451229184,560670176,1451229184,560670176,1451229184,849554928,1560281088
3_2_3_3,1451229184,849032688,1451229184,847984112,1451229184,847984112,1451229184,670774768,1560281088
3_2_3_4,1451229184,670774768,1451229184,669726192,1451229184,669726192,1451229184,712163904,1560281088
3_2_3_5,1451229184,712163904,1451229184,710593088,1451229184,710593088,1451229184,633548272,1560281088
3_2_3_6,1451229184,633026032,1451229184,631977456,1451229184,631977456,1451229184,914566624,1560281088
3_2_3_7,1451229184,914009536,1451229184,912991712,1451229184,912991712,1473249280,606809584,1560281088
3_2_3_8,1473249280,606809584,1473249280,605761008,1473249280,605761008,1491075072,881536496,1560281088
3_2_3_9,1491075072,881014256,1491075072,879965680,1491075072,879965680,1491075072,623588848,1560281088
3_2_5_0,1491075072,623588848,1491075072,621491696,1491075072,621491696,1491075072,911945200,1560281088
3_2_5_1,1491075072,911422960,1491075072,909848048,1491075072,909848048,1491075072,971714016,1560281088
3_2_5_2,1491075072,971714016,1491075072,969616864,1491075072,969616864,1491075072,564342240,1560281088
3_2_5_3,1491075072,564342240,1491075072,562245088,1491075072,562245088,1491075072,959133168,1560281088
3_2_5_4,1491075072,959133168,1491075072,957036016,1491075072,957036016,1491075072,659764720,1560281088
3_2_5_5,1491075072,659764720,1491075072,657667568,1491075072,657667568,1491075072,847459824,1560281088
3_2_5_6,1491075072,846933488,1491075072,845362672,1491075072,845362672,1505755136,881536480,1560281088
3_2_5_7,1505755136,881010144,1505755136,879439328,1505755136,879439328,1505755136,654519776,1560281088
3_2_5_8,1505755136,653993440,1505755136,652422624,1505755136,652422624,1505755136,853751280,1560281088
3_2_5_9,1505755136,853224944,1505755136,851654128,1505755136,851654128,1517289472,628307440,1560281088
